Table 2. Civilian labor force and unemployment by selected metropolitan area and metropolitan division, seasonally adjusted

  LAUS      State   Area FIPS                                                                                    Civilian                                      Unemployment
  Code    FIPS Code   Code                       Selected Area and Division                       Year  Month   Labor Force       Employment    Unemployment        Rate
MT261982     26       19820      Detroit-Warren-Livonia, MI MSA                                   2009    09     2,098,813         1,763,416       335,397          16.0
DV261980     26       19804         Detroit-Livonia-Dearborn, MI Met Div                          2009    09       864,914           718,695       146,219          16.9
DV264764     26       47644         Warren-Troy-Farmington Hills, MI Met Div                      2009    09     1,235,433         1,048,197       187,236          15.2
MT363562     36       35620      New York-Northern New Jersey-Long Island, NY-NJ-PA MSA           2009    09     9,480,857         8,613,076       867,781           9.2
DV342076     34       20764         Edison-New Brunswick, NJ Met Div                              2009    09     1,211,513         1,104,014       107,499           8.9
DV363500     36       35004         Nassau-Suffolk, NY Met Div                                    2009    09     1,474,831         1,365,066       109,765           7.4
DV363564     36       35644         New York-White Plains-Wayne, NY-NJ Met Div                    2009    09     5,692,862         5,144,945       547,917           9.6
DV343508     34       35084         Newark-Union, NJ-PA Met Div                                   2009    09     1,101,649           999,093       102,556           9.3
MT423798     42       37980      Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA                  2009    09     2,989,788         2,732,529       257,259           8.6
DV341580     34       15804         Camden, NJ Met Div                                            2009    09       673,409           608,009        65,400           9.7
DV423796     42       37964         Philadelphia, PA Met Div                                      2009    09     1,963,253         1,802,004       161,249           8.2
DV104886     10       48864         Wilmington, DE-MD-NJ Met Div                                  2009    09       353,377           322,574        30,803           8.7
MT481910     48       19100      Dallas-Fort Worth-Arlington, TX MSA                              2009    09     3,193,481         2,931,493       261,988           8.2
DV481912     48       19124         Dallas-Plano-Irving, TX Met Div                               2009    09     2,128,609         1,953,992       174,617           8.2
DV482310     48       23104         Fort Worth-Arlington, TX Met Div                              2009    09     1,064,861           977,482        87,379           8.2
MT534266     53       42660      Seattle-Tacoma-Bellevue, WA MSA                                  2009    09     1,898,271         1,713,797       184,474           9.7
DV534264     53       42644         Seattle-Bellevue-Everett, WA Met Div                          2009    09     1,507,984         1,363,659       144,325           9.6
DV534510     53       45104         Tacoma, WA Met Div                                            2009    09       391,707           351,811        39,896          10.2
MT063110     06       31100      Los Angeles-Long Beach-Santa Ana, CA MSA                         2009    10     6,448,683         5,703,557       745,126          11.6
DV063108     06       31084         Los Angeles-Long Beach-Glendale, CA Met Div                   2009    10     4,865,872         4,271,130       594,742          12.2
DV064204     06       42044         Santa Ana-Anaheim-Irvine, CA Met Div                          2009    10     1,580,901         1,429,674       151,227           9.6
MT064186     06       41860      San Francisco-Oakland-Fremont, CA MSA                            2009    10     2,246,628         2,015,944       230,684          10.3
DV063608     06       36084         Oakland-Fremont-Hayward, CA Met Div                           2009    10     1,283,615         1,140,591       143,024          11.1
DV064188     06       41884         San Francisco-San Mateo-Redwood City, CA Met Div              2009    10       963,045           875,366        87,679           9.1
MT114790     11       47900      Washington-Arlington-Alexandria, DC-VA-MD-WV MSA                 2009    10     3,051,921         2,852,105       199,816           6.5
DV241364     24       13644         Bethesda-Rockville-Frederick, MD Met Div                      2009    10       646,580           606,734        39,846           6.2
DV114789     11       47894         Washington-Arlington-Alexandria, DC-VA-MD-WV Met Div          2009    10     2,405,298         2,245,301       159,997           6.7
MT123310     12       33100      Miami-Fort Lauderdale-Pompano Beach, FL MSA                      2009    10     2,796,814         2,489,573       307,241          11.0
DV122274     12       22744         Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Met Div     2009    10       975,248           880,792        94,456           9.7
DV123312     12       33124         Miami-Miami Beach-Kendall, FL Met Div                         2009    10     1,203,871         1,063,595       140,276          11.7
DV124842     12       48424         West Palm Beach-Boca Raton-Boynton Beach, FL Met Div          2009    10       611,799           542,617        69,182          11.3
MT171698     17       16980      Chicago-Joliet-Naperville, IL-IN-WI MSA                          2009    10     4,855,364         4,326,568       528,796          10.9
DV171697     17       16974         Chicago-Joliet-Naperville, IL Met Div                         2009    10     4,083,270         3,630,843       452,427          11.1
DV182384     18       23844         Gary, IN Met Div                                              2009    10       328,648           293,344        35,304          10.7
DV172940     17       29404         Lake County-Kenosha County, IL-WI Met Div                     2009    10       449,250           399,848        49,402          11.0
MT257165     25       71650      Boston-Cambridge-Quincy, MA-NH Met NECTA                         2009    10     2,526,456         2,323,663       202,793           8.0
DV257165     25       71654         Boston-Cambridge-Quincy, MA NECTA Div                         2009    10     1,529,133         1,412,768       116,365           7.6
DV257210     25       72104         Brockton-Bridgewater-Easton, MA NECTA Div                     2009    10       127,562           115,163        12,399           9.7
DV257310     25       73104         Framingham, MA NECTA Div                                      2009    10       148,338           137,921        10,417           7.0
DV257360     25       73604         Haverhill-North Andover-Amesbury, MA-NH NECTA Div             2009    10       123,208           112,944        10,264           8.3
DV257420     25       74204         Lawrence-Methuen-Salem, MA-NH NECTA Div                       2009    10        72,034            62,868         9,166          12.7
DV257480     25       74804         Lowell-Billerica-Chelmsford, MA-NH NECTA Div                  2009    10       155,405           140,921        14,484           9.3
DV337540     33       75404         Nashua, NH-MA NECTA Div                                       2009    10       177,726           165,272        12,454           7.0
DV257652     25       76524         Peabody, MA NECTA Div                                         2009    10       129,635           118,469        11,166           8.6
DV257825     25       78254         Taunton-Norton-Raynham, MA NECTA Div                          2009    10        63,791            57,844         5,947           9.3
MT261982     26       19820      Detroit-Warren-Livonia, MI MSA                                   2009    10     2,092,617         1,760,051       332,566          15.9
DV261980     26       19804         Detroit-Livonia-Dearborn, MI Met Div                          2009    10       861,238           717,112       144,126          16.7
DV264764     26       47644         Warren-Troy-Farmington Hills, MI Met Div                      2009    10     1,230,667         1,045,450       185,217          15.1
